internal_sku,cardmarket_id,amount,card_name,set_name,set_code,cn,rarity,rarity_short,lang,is_reverse,rarity_quality,name_es,name_de,name_fr,name_it
733660-0002,733660,1,Alakazam ex,151,MEW,065,Double Rare,RR,ENG,False,normal,Alakazam ex [Mind Jack | Dimensional Hand],Simsala ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand]
733660-0001,733660,1,Alakazam ex,151,MEW,065,Double Rare,RR,ESP,False,normal,Alakazam ex [Mind Jack | Dimensional Hand],Simsala ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand]
733619-0002,733619,1,Arbok ex,151,MEW,024,Double Rare,RR,ENG,False,normal,Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs]
733619-0001,733619,1,Arbok ex,151,MEW,024,Double Rare,RR,ESP,False,normal,Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs]
733604-0002,733604,1,Blastoise ex,151,MEW,009,Double Rare,RR,ENG,False,normal,Blastoise ex [Solid Shell | Twin Cannons],Turtok ex [Solid Shell | Twin Cannons],Tortank ex [Solid Shell | Twin Cannons],Blastoise ex [Solid Shell | Twin Cannons]
733604-0001,733604,1,Blastoise ex,151,MEW,009,Double Rare,RR,ESP,False,normal,Blastoise ex [Solid Shell | Twin Cannons],Turtok ex [Solid Shell | Twin Cannons],Tortank ex [Solid Shell | Twin Cannons],Blastoise ex [Solid Shell | Twin Cannons]
733601-0002,733601,1,Charizard ex,151,MEW,006,Double Rare,RR,ENG,False,normal,Charizard ex [Brave Wing | Explosive Vortex],Glurak ex [Brave Wing | Explosive Vortex],Dracaufeu ex [Brave Wing | Explosive Vortex],Charizard ex [Brave Wing | Explosive Vortex]
733601-0001,733601,1,Charizard ex,151,MEW,006,Double Rare,RR,ESP,False,normal,Charizard ex [Brave Wing | Explosive Vortex],Glurak ex [Brave Wing | Explosive Vortex],Dracaufeu ex [Brave Wing | Explosive Vortex],Charizard ex [Brave Wing | Explosive Vortex]
733671-0002,733671,1,Golem ex,151,MEW,076,Double Rare,RR,ENG,False,normal,Golem ex [Dynamic Roll | Rock Blaster],Geowaz ex [Dynamic Roll | Rock Blaster],Grolem ex [Dynamic Roll | Rock Blaster],Golem ex [Dynamic Roll | Rock Blaster]
733671-0001,733671,1,Golem ex,151,MEW,076,Double Rare,RR,ESP,False,normal,Golem ex [Dynamic Roll | Rock Blaster],Geowaz ex [Dynamic Roll | Rock Blaster],Grolem ex [Dynamic Roll | Rock Blaster],Golem ex [Dynamic Roll | Rock Blaster]
733719-0002,733719,1,Jynx ex,151,MEW,124,Double Rare,RR,ENG,False,normal,Jynx ex [Heart-Stopping Kiss | Icy Wind],Rossana ex [Heart-Stopping Kiss | Icy Wind],Lippoutou ex [Heart-Stopping Kiss | Icy Wind],Jynx ex [Heart-Stopping Kiss | Icy Wind]
733719-0001,733719,1,Jynx ex,151,MEW,124,Double Rare,RR,ESP,False,normal,Jynx ex [Heart-Stopping Kiss | Icy Wind],Rossana ex [Heart-Stopping Kiss | Icy Wind],Lippoutou ex [Heart-Stopping Kiss | Icy Wind],Jynx ex [Heart-Stopping Kiss | Icy Wind]
733710-0002,733710,1,Kangaskhan ex,151,MEW,115,Double Rare,RR,ENG,False,normal,Kangaskhan ex [Triple Draw | Incessant Punching],Kangama ex [Triple Draw | Incessant Punching],Kangourex ex [Triple Draw | Incessant Punching],Kangaskhan ex [Triple Draw | Incessant Punching]
733710-0001,733710,1,Kangaskhan ex,151,MEW,115,Double Rare,RR,ESP,False,normal,Kangaskhan ex [Triple Draw | Incessant Punching],Kangama ex [Triple Draw | Incessant Punching],Kangourex ex [Triple Draw | Incessant Punching],Kangaskhan ex [Triple Draw | Incessant Punching]
733746-0002,733746,1,Mew ex,151,MEW,151,Double Rare,RR,ENG,False,normal,Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking]
733746-0001,733746,1,Mew ex,151,MEW,151,Double Rare,RR,ESP,False,normal,Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking]
733633-0002,733633,1,Ninetales ex,151,MEW,038,Double Rare,RR,ENG,False,normal,Ninetales ex [Heat Wave | Mirrored Flames],Vulnona ex [Heat Wave | Mirrored Flames],Feunard ex [Heat Wave | Mirrored Flames],Ninetales ex [Heat Wave | Mirrored Flames]
733633-0001,733633,1,Ninetales ex,151,MEW,038,Double Rare,RR,ESP,False,normal,Ninetales ex [Heat Wave | Mirrored Flames],Vulnona ex [Heat Wave | Mirrored Flames],Feunard ex [Heat Wave | Mirrored Flames],Ninetales ex [Heat Wave | Mirrored Flames]
733598-0002,733598,1,Venusaur ex,151,MEW,003,Double Rare,RR,ENG,False,normal,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],Bisaflor ex [Tranquil Flower | Dangerous Toxwhip],Florizarre ex [Tranquil Flower | Dangerous Toxwhip],Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
